EPC,Article,Fixture
D184E08B02A3379320610CBAFE0B322ECFAC93FA,356A192B7913B04C54574D18C28D46E6395428AB,1
F659A083697731BFAD55D451B535A9FC9AF75EAC,356A192B7913B04C54574D18C28D46E6395428AB,1
2A53CF2E50EC7C2E492F3BD5F9FF03FBDAF7B558,356A192B7913B04C54574D18C28D46E6395428AB,1
414A57C787069F4B8E16040A3289B1AFABF62549,356A192B7913B04C54574D18C28D46E6395428AB,1
3FC16897980CCF26EDC7E3774189559CB169F2A5,356A192B7913B04C54574D18C28D46E6395428AB,1
64B424B67CB4278414FC90A6ED5321C8C400A66C,356A192B7913B04C54574D18C28D46E6395428AB,1
432866569576A1698FB4D8DCC028CF9168D11445,356A192B7913B04C54574D18C28D46E6395428AB,1
F787400BDA4ECA9058FB8A5862E8A4ABD2658527,356A192B7913B04C54574D18C28D46E6395428AB,1
C74901A6322E6030DDB0C3BCD4D6F1F8E8F09B05,356A192B7913B04C54574D18C28D46E6395428AB,1
0B742D432855128AC6A3AC412E6A95529CF70A2B,356A192B7913B04C54574D18C28D46E6395428AB,1
C6B81F66A40A358441BCAC613016F6226E100E2E,356A192B7913B04C54574D18C28D46E6395428AB,1
A8549229602BF8AD8DF18EE007E7738C8132A127,356A192B7913B04C54574D18C28D46E6395428AB,1
BC877AA83A7FAA1157DD25CDCC16844F9020A981,356A192B7913B04C54574D18C28D46E6395428AB,1
47B465E046F22152F0008762EB5C69ACEB79706B,356A192B7913B04C54574D18C28D46E6395428AB,1
1CB637D4C84500DC4B47935A5B1C7A7C3BD15153,356A192B7913B04C54574D18C28D46E6395428AB,1
62B0D212B0112D171E572D2D4EB94CEFBD776440,356A192B7913B04C54574D18C28D46E6395428AB,1
16067A0BFDBE8DB3FCD1E1624861E132366087B5,356A192B7913B04C54574D18C28D46E6395428AB,1
CF10C4522B8A3E77C68B1158CB96D590E61C4247,356A192B7913B04C54574D18C28D46E6395428AB,1
C9CF9587670F78C06075905663DDEE226F7FFB70,356A192B7913B04C54574D18C28D46E6395428AB,1
40F2BC9BB8A5D0D035633311CC2790AC6A799B05,356A192B7913B04C54574D18C28D46E6395428AB,1
40DB182A06C33900FA02DFA8E13C36A0595A4718,356A192B7913B04C54574D18C28D46E6395428AB,1
997E0A594B20304D432B2B7EE0570054FF1DD6EC,356A192B7913B04C54574D18C28D46E6395428AB,1
976CF8BFDC8AD72316B803D79FCC85650531C106,356A192B7913B04C54574D18C28D46E6395428AB,1
88E505C01B40B31E9D2EDF9943CC640C975B1E1D,356A192B7913B04C54574D18C28D46E6395428AB,1
DC46246F40FCC18CD67EC600C365BBFD7DE3607F,356A192B7913B04C54574D18C28D46E6395428AB,1
9B499FAAC6A5C49FFDE9A8F28AD7B76F4452BA1E,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
8DE7269D1E80FADF8ACE75434E8C2C430E55295C,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
C331792717F4444AC5F5DCDB62127B20A0ED0D3F,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
0233854582C386E8FDD92B0B364FAC9A37596365,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
3F360138A321D68B7FF97004B2BE6C0A160A0306,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
B3398C43E10332F22D38FD991EDE9BD90ECC93A9,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
4C71CF6915916CE657AAA46A11A80E1B64F2323B,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
FBCA79D7B327832EDBCE80B8AD4FC28590AB3392,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
B6161BB4636E6080D234C581D9041B3A36E4EB1B,B1D5781111D84F7B3FE45A0852E59758CD7A87E5,8
