EPC,Fixture
3F7CC631C7939944B124E50E8FE4136F3308424F,1
C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,1
49631A8765A73332CEC3A52DA7CC6C7AC4C7C936,1
95297FF06494769C881945627BFD1F329280C1A7,1
9B77F1D7D80D5962BFE7FFE0B255E9D7FD47355B,1
FA511BB25FD1B49F09C24225939792BF9296E69F,1
DE45494DC36C3E20BB378BFF953DF50265DF307A,1
6002A7306265E8E0CEAB0CD41561BC32D5400EBA,3
0AD55A459FF4ADEF256E41071E3521E0BB596288,3
06848F7C5DB48E1C7EB46409A9849DB5717F5887,3
CF6A20A95C95E04A7860DF6F33BEE19FD2E8FAAE,3
4FF274592E4F6A31A9BF70AFA87CD937B8BD550B,3
16E5FFF1D3DF829C079ECEC2A10D61922449C4EE,3
04FAB42434101B4862D3239DFCE423DFF1D947AF,3
EEAA074E3E979BF26CEC9FC8487E1713C8685C66,3
A4A3594D53E1FC9EE144EB769FEFBDB36D62B68C,3
1A5A102B5DEA7E0B17F7C3EAD33549F63615F687,3
3D65B66AB076E6C6185704193C5ED300C7CF5371,3
0736AD5BE7D0738224A987F2230EECDB6F5414D2,3
C091853D49CBEA2F410C6D94237AA2680E8FD0B4,3
C898E2C84370ACB16686075776EECEE0153EC8F8,6
4558412E01D800244131A619E807BCD7037EB761,7
691282AF078D0CBA9EFCBA51C4B3935D5C8BC973,7
C0CE45BAFD7071D4B741D5ADBBEAF1B73DB17CAE,7
120F652EDFB2CA938F6A49A590B8984ABBC86C16,7
9A4A0EDDB28BB817FFFBDFBACDD5B2F2A95D4547,7
2CD5EE83428D74E0B0580A0627B55DE1473A2C8C,7
2C3FE38B299DF68334F96DA6B47F95142E3BA856,8
CC0E9485255615DDB195413DC955730DEAEBBDFE,8
9763ABAF29446597E5DD9E9BFF71130672556440,8
D1634F24FE2E96504C919DFDB4692901ADC7CB44,7
B7D2AD8BE133BFD8E39D6F05EE09707D01094393,8
421D050FF21CED3F86E33FC126D96A1A7C28C0DF,8
0A130C7F4653C591DB9C004F9141E7AD39BB704F,9
5DA9CD055BAF8E14E89FE9BBAB7F5BC4E45AF599,10
D7E6F369EB461E41662197BE2D5EC4E3C8C6D8FC,10
B79C29F988C38F9E47E33557F5159B27C6675E11,10
C402EB3BEBA5E83E0D4AB37BB553FC8B24D67E9F,10
74BC3FF365382F2CFA7BB9CDD3448CA84F8888CF,11
2048AB5350625BE2EDE347E9B5841C1B9E58BE0D,11
680FD6B751958F01748144D831E5C5F9E9504599,11
5697AAA42389A185E71C6D5433BD618FFDCCC71A,11
938D07FE1FB2F2B25584DEEB111974CE30A367E3,11
0294CED00DEA9166EFEAE0231ADCBDB2502630EB,11
01C8FFF5A62E6ECF2B4127B66C249158D74EE49E,11
49ADEDFFDC76635EAEB79DF776802D1EA2790E41,11
C6E60AFDBE1D77B7C1DFB2C78C3482521E46C702,11
53E6CD30C569E376EE8A4D830D00D6D2D6404FAE,11
66D97E75B15B434DDBE6C00625C10BB1354A64CC,2
CE1995D84A61F73F0D1F258FC7B185D43BC7881E,2
31FFD514905D3B2FBF7A60FF659E97CE744B7CF9,2
07553017F35638F65E2E600D6A64222832D219E3,2
5969132BA2A18FF1F1FE1DE317488AB38A0C3191,2
F4499F3F21E685387E4481E74BC60EEA2FB140F4,2
5C671207CFAC6985ABC26D369D481C5A6A26745A,2
04ECE2B727BF2324002AA69A9C449D7424A5DB56,4
3C6589F507A1508DB1B05682472D8E6856628456,4
BDB0ABDE2A7B6474357E9D2EB8A3D7C1B0B76AE5,4
AB6BBE523E3D5139BBE1556B8E13929E48203890,4
3005022B473105513BF757AB206AA7309411BDC4,5
E453572ADAD565E7FC5847CDEFA5DD74197323AE,5
EAAEF2636C48577EF31A98AA21E7B16947C87812,5
BF0453328C3777A5855547B2652F329AC2280AB7,5
2D378A238BCC4791016C70C49857F413D36142DB,5
FF6EC2F51C2413963C57F3EE5073B5E289A6C27D,5
B707E99383EF9C131AB295846455D15378CAC2A1,5
F6F94BE3EB138A26FDABFE5F219FB9F77F853321,5
213C32D2019A1713A67C0D361908E498D8E43821,5
C1B3EA0D72B7910F0CFD6D6C3FB2FD17C7F1ACE2,5
96C4614DB8DC7E3908239B2E4B4FBA3177D21ADD,5
79EFC67B226F675964F1D9EE9F6B99A7F7083EAD,5
EA6D91D966BBB150F48757F9A7736B6CF3843605,5
EE5B4C5A6669DEABA0AED685AE83CC538C99EE8D,5
2A394B7FAF9CEC01FC5F61E3E890E57F328A459F,5
