EPC,Article,Fixture
D871285D6D7646AFFAF0823193267047EF539860,3CD878301B61A2217298E9EA283E397947322069,1
5B52C7CABA80F33AD5D9B75CAA6E681D664F95A0,882925E72483A22C2D3A766458DCEC27737A9866,1
D688005B258DA09F10DCC1097CB1D09B8CFC6FA5,3CD878301B61A2217298E9EA283E397947322069,1
0B7065518C7AA6394DDA64833CD1D2CE343B1313,3CD878301B61A2217298E9EA283E397947322069,1
F2656338BE079841A60E1A3D618A5152EF14D949,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
04550D36CAE88AB7E1F4670503FCA8BC4925963D,65681BD74E28649B2AD865785211B1D49A061C55,1
36A5D6CB8EF1A7045C9DDAB176ACF3CE90A093D9,E25F8F127BAB5B3905D48036122FBD8DC48C8C83,1
0ACDE4DA70E3D89023C74A33A999983FBC8F5F16,FDCFEAE087817DC4E071D1393A94C8360D839BCE,1
EA88E2C4F6B742FE2513CC918CE71BC3AEB20EFC,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
A9F5988D42ECFD3F3A5EDC6FD9E0873FF145023D,65681BD74E28649B2AD865785211B1D49A061C55,1
7CAF2A985C84CDC212E97D68CD34A9CE123886F0,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
032B38DF149E13FC5F98E99F09C744E9BF13A273,65681BD74E28649B2AD865785211B1D49A061C55,1
ADA337917197B2DB0368BC2C1049B2CBCC003C32,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
C12F2D926DB5D066B264CAEC0B58ABE9C99978E6,FDCFEAE087817DC4E071D1393A94C8360D839BCE,1
CC37525E35363EA2893DE603AAE8784C5FDD17EA,77B6E966E43D176FA447B5654B6A471EECCD503D,1
7EFF066AA1CD81DB7FA3C950150C0EA3C68FA0D4,77B6E966E43D176FA447B5654B6A471EECCD503D,1
7E5230D31AFFDDC641302F538A034C16CE00FE09,65681BD74E28649B2AD865785211B1D49A061C55,1
87F63ED2961FC3805E51794A50CFF461341A1C4E,65681BD74E28649B2AD865785211B1D49A061C55,1
179B1E1D88EFE172876700EB6F7D87BF273970B1,FDCFEAE087817DC4E071D1393A94C8360D839BCE,1
C79252450F751602C104BB3CCB442EA0E4656B3B,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
9B2ECB98BED7F1DA91D293FC8F7F7EB4C2559DE9,77B6E966E43D176FA447B5654B6A471EECCD503D,1
CA53E6A737F494DC3E268E52961ACD6F1F45C3FA,E25F8F127BAB5B3905D48036122FBD8DC48C8C83,1
AAD7FB9AAD188A249EE3232D4E207115981BB79B,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
F6BBD17357E7C14ED44A96A20A582F8FE1384D69,77B6E966E43D176FA447B5654B6A471EECCD503D,1
5385C308D659C44126A7F1B2E0207D2FD5CBF948,FDCFEAE087817DC4E071D1393A94C8360D839BCE,1
C9F5CC25B07426347BE53AD5287CD609E2235EF8,FDCFEAE087817DC4E071D1393A94C8360D839BCE,1
C614B26BB60A858F6883367178A8F59918EAC8C2,FDCFEAE087817DC4E071D1393A94C8360D839BCE,1
8DCC7C8F4858B2C2BC6D08D71EAB3E7BEC93445B,77B6E966E43D176FA447B5654B6A471EECCD503D,1
D591048BB2BD528C6282432C9B90BDC3E791E1DC,77B6E966E43D176FA447B5654B6A471EECCD503D,1
A69BCCA292270DE63A6859F49CFA3C2DFBD805A6,E25F8F127BAB5B3905D48036122FBD8DC48C8C83,1
F85C208EBFC2BE83EA2CA3B113F28AF00713F91F,E25F8F127BAB5B3905D48036122FBD8DC48C8C83,1
7B6A65F01A671EC7C91B825F70D28704D132877F,E25F8F127BAB5B3905D48036122FBD8DC48C8C83,1
C38EB3FF759BB7D1763BAC00BE9F9EFE23882539,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
4F279012FB858D17D4BC50AD22CE61B34A4EE3D6,3552628F6EE3EDFCD9B69F49A366593B1BEA237F,1
B1C5617C9FDB80033A29C15A9915CFD45DE92561,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
9E4DCAC6B76775F53C884FB885A3640155A9A8C7,3CD878301B61A2217298E9EA283E397947322069,1
BC50A51933494F729E7EF380909EFAC670B66893,0CB7B18B02EAAD85038B60D24B502EBB823AEB73,1
6AB72E5500E483095CD6E6F1B5844FE183761AD2,0CB7B18B02EAAD85038B60D24B502EBB823AEB73,1
6D3AD43D2E9FF31746786C2FC17B5128E378978D,3CD878301B61A2217298E9EA283E397947322069,1
