EPC,Fixture
2CFE244CAEF71FA4C86D2E7ADC4C6A5BB990100E,1
915E273CBF22BD6AA48218787714ABE5ED49A6F4,1
C48A213A2FFE02C6C142384868F5592A058948F3,1
2E2E8CE963C385ABE4D02CEAABFBECFDC00AAED8,1
888383C532619C4D2EDF533C3EFDF2544C6C7977,1
734BA5DAE07EB31D8ED206FE8F553CE7EEB198C2,1
51A9E1071AAECDDC9123102112A7615A3874E6BB,2
B99B4B1B22FAB63423E7EBCAA35E54352DFFBB26,2
0C27EE96702E5EA1090CF0F3AFBA8E906DD1251C,2
DD179B513241F7B91FDCA79BCB155DD2A5BB4B45,2
5D95AD57111BBB6403A87BB7FB2605B9C4A7F907,3
DCF7E7F1F2CF52176DDEE68F099C8FFAE0E70C12,3
F21CC39366B0176E9587350C170598C867A37118,3
B8AA2FD8EFECF8AF66A35EF8B4748E001A583472,3
83D74CF8A130C93D450A7439C121068902942E64,3
307FDE92AC80232A65BCD06342212775639C5F98,4
4C079480B231CFA439C67EAB7BE8F520C81F49FE,5
15A4459C3D7E155883F4681480F154CE0E35363B,5
9F02489B58170EBA4C04AE6BA7D5C22A836A5FA9,6
5A72324D5F9D7EA94993A4ED3C17A54057F997AE,6
A4D81BB915F5BFA4178200C698720119DA040096,6
5F7E1125DAA32C70B487B6F180D4A3ED5F75D4CD,6
1B2ADDCF280F978CFFE72AAB092F68E128AB2C01,6
282F76D92B35B2CDA7C12D9C9FA614507210D7D5,6
EA9F512BBAEE6A3669F74C4D6A1C059B9D0C57E4,7
980BEF47E7F80FA7D1631DB6A330109D7E63C308,7
6C9304007CC04EB046FE3AE484D4B0F807306733,7
770EFF4728E3105FF1A918AC714AEC176FDDE96E,8
EB4CCE79EE8194450F76FEAE12CEEA64FE62E251,8
AC3904DE44487C90DE3149221A1C2EB77FEF32E8,8
DBC7852C6CA4939ED192F49DDB2A82363DCDF231,9
6495F08B40024C7EE86FD138F48331CBAA5AA0EB,9
03447D03D0A9540B9D67DD6C7CF792BB3D19967A,9
505EE7451C93FDB4A8272A4DFFD770066D474E14,9
3D6672F8FC7B55897C9D373F9356E93A04C1D288,9
3B819F3C874A3676206480FFBEB71B35812F4E79,10
F7BC62E8988F74D21845881BB191764F3F541825,10
ADC289872BDAAA4CF57C3DE5BEEE15154934235D,10
5C63A9506CA3C11532E892EF63B235D103366BAB,11
E0158DA34833FE9DD3E6B060DEFA84233FBD23FD,11
F78BD5771BEC7C989E6C525B1D123417D678CE60,11
8EC35C27C82D88BE35E2F4AB9784FA799F920D98,12
E19AC19B12B29C99AC126D1A5CC5FBDC0645E4F7,12
82CC79E1BC61ED25244AF96D44D26B8B322EAD3B,13
EB5F0607649043AFACAD87D1D8B693880A56F68D,13
0A5704B02841E4A71BA238563BC54705274CC1C4,14
28CF621FBEBCEA695A3FA605C65366558967519E,14
584932CCB8EA546BF4617C987215B0451781D6BE,15
564032224FEB07F3D9AC6A27D3E1580532B29890,15
D7BC2A9EC06339EF9F40B2DF0DF31CF936C27C44,15
23C2373C6CBE8973895D5D79A9D26DEC4EEA1FE4,15
BCC7F3B1DF3375FC555FB922E1C21EA8FC15C036,16
8C7D6ADD721D89603D4A16B006CDB71B2B152F8D,16
5BF2287DDD11772160A54C3DAA45A1A5778A605E,16
4D1ECD56D748717C7A6F72F6F21E74AF9F873EE8,16
4389684D8E6691AA31C0743BAD603EFE26F1A07A,17
CCB0E8EB45955C5A1D507961D34AFA879E5F211D,17
500C9124A33DC6D745891BF6417B95968A6A137B,17
24AFC3A4A0C8C78342448F5E7807BA4E3FA88219,17
4E52288DACA806BC1EE2B6F7168F78E7C71016E4,18
9ED35623CE6D1F71595EE4A14FC15520C597C3CD,18
42FC87AD3B5DAC920AC7B478DB1360F84F76D970,18
497FFFCB2CAF10EA9F32919102674592981BD500,18
5DF9C77AB10AB722247F49259D50A6AC9C1230A4,19
C08B117877C439B6FF1D81BB0871469A25E8CB78,19
DD37E70DC9148CCAB330BBEC1C60221916FC7277,19
31AF2A138D8EB429A910EB4D2DFD3D7A91AD4BA6,20
031097080780F524909568D6892BA667DBB02F2D,20
2F82A84ACAAE2AA518D945B9663D1592A0E173B1,20
B519105928A701F67D0371242212D9781FFF2A5C,20
212320E20F380CA1D37C80DBB8D5BED21B7AD02E,20
82D1B3A6C71478EEC33A24744D93960770933774,20
BE4E264E19A0BF812619A95D1BCD9D82A5013A31,21
F3511229478F8225B37501DDBC84765412E9CDBB,21
8E70F3E6C240121273B119528DE761001335C880,21
FBD91362EF23C6400A7D14486C02BBEC3AE718B6,21
FCFD62558A8BAA808452D289A1B2CD506AF45917,21
5954B86D34201E93B5A4EDA200D3CBD1C70B899F,22
0750B073D762647A8F91EF15BD074A03A681E6BE,22
DE316CEEE8EB5FE2280D4999D67CF5894F409223,22
E8A20211A358AF8DDF13A7AC9F9F018EAD1276E3,22
AB43C7A05E19252FA8C9DAB665B7BFAAD0FADD4F,22
59EAE1FAAC30A4E1BCF531A15BD5F6B44A37013A,22
78A53B368B03E76729439C50EAE8266549F77AF3,23
7C9BD0303E5A4018DA8062B432B08060AD51B96F,23
40D07A4A0E1D217D00321AC9E0BA122E068302F1,23
6D18209B475425C68BFE5C8205E24F229B81B8D2,23
C3650C2BF748883BF7C9354183E8BF1C4B4371D5,23
68D162FD32F9913262B37DBE50328FB28AA9DA8F,23
92DFEF79BB0B2762C3A74F7A48406009CA60CCB0,23
34071BC053A3022D333B34C9537CA8A06D38E8A0,23
5BFC736294144607C3237F8C13E5A1F158471B69,23
